POI Number,Store Name,ADDRESS1 ,ADDRESS 2,City,PINCODE,STATE,PHONE NUMBER
191,Titan Store,WORLD OF TITAN STORE,"FF:6-8, MGF METROPOLITAN MALL,BIAS GODAM.,",JAIPUR,302001,Rajasthan                                         ,+919998000000
192,Titan Store,"410, MAIN MARKET",MODEL TOWN,JALANDHAR,144001,Punjab                                            ,+919998000000
193,Titan Store,"SHOP NO. GF6 & FF7,THE KASHMIR SQUARE,","NEAR EXHIBITION GROUND DOGRA CHOWK,",JAMMU,180001,Jammu Kashmir,+919998000000
194,Titan Store,"# 8,NATRAJ MANSION,",BISTUPUR MN RD,JAMSHEDPUR,831001,Jarkhand                                          ,+919998000000
195,Titan Store,"13, KALMATI ROAD",SAKCHI ,JAMSHEDPUR, 831 001 ,Jarkhand                                          ,+919998000000
196,Titan Store,OPP. M.G.HOSPITAL,JALORI GATE,JODHPUR,342001,Rajasthan                                         ,+919998000000
197,Titan Store,"13-1-24, SUBAS ROAD",SURYARAOPET,KAKINADA,533001,AndraPradesh                                      ,+919998000000
198,Titan Store,"170, GANDHI ROAD",NEAR PACHAIYAPPA TEXTILES,KANCHEEPURAM,631501,TamilNadu                                         ,+919998000000
199,Titan Store,CITY CENTER,FORT ROAD,KANNUR,670001,Kerala                                            ,+919998000000
200,Titan Store,"G - 51 Z SUARE MALL,",16/113 M.G. MARG THE MALL,KANPUR,208001,Uttarpradesh                                      ,+919998000000
201,Titan Store,"NO.1 & 2, 113/121A, SWAROOP NAGAR",OPP. MOTIJHEEL (SHIVAJI GATE),KANPUR,208002,Uttarpradesh                                      ,+919998000000
202,Titan Store,23B,P.P.N.MARKET,KANPUR,208001,Uttarpradesh                                      ,+919998000000
203,Titan Store,"# 3-1-820, Beside Anvitha Fast Food Center,","Opp: ST.Marck Church, Christen Colony,","Karimnagar,",505001,Andhra Pradesh,+919998000000
204,Titan Store,"KVR Mall,25,","Kovai Road,",KARUR,639 002,TamilNadu                                         ,+919998000000
205,Titan Store,"VVC COMPLEX,BESIDE GOLDPLUS",OPP TO HEROHONDA SHOWROOM,KHAMMAM,507002,ANDHRA PRADESH,+919998000000
206,Titan Store,"1445 C, DASARA CHOWK ",LAXMIPURI,KHOLAPUR,416002,Maharastra                                        ,+919998000000
207,Titan Store,"G1 & G2, PIONEER TOWERS",MARINE DRIVE,KOCHI,682031,Kerala                                            ,+919998000000
208,Titan Store,"M/s. Kottaram Agencies,B6, Ground Floor,","Oberon Mall, Edapally Bypass road,",KOCHI,682024,Kerala                                            ,+919998000000
209,Titan Store,"128, Rashbehari Avenue",0,KOLKATA,700029,West Bengal                                       ,+919998000000
210,Titan Store,"1, DIAMOND HARBOUR ROAD, TARATALA",OPP. CESC BUILDING,KOLKATA,700038,West Bengal                                       ,+919998000000
211,Titan Store,"9, JAGMOHAN MULLICK LANE","KALAKAR STREET, BURRABAZAR",KOLKATA,700007,West Bengal                                       ,+919998000000
212,Titan Store,"ELGIN ROAD,", OPP. BHAWANIPORE COLLEGE,KOLKATA,700020,West Bengal                                       ,+919998000000
213,Titan Store,"104  Jessore Road,","Nager Bazar,Near Diamond City North,",KOLKATA,700028,West Bengal                                       ,+919998000000
214,Titan Store,"358/1 Sohum Building, NSC Bose Road,","near HP Petrol pump,Naktala,",KOLKATA,700047,West Bengal                                       ,+919998000000
215,Titan Store,"SHOP NO M0003,BLOCK M,","G FLOOR,CITY CENTRE,NEW TOWN",KOLKATA,7000126,West Bengal                                       ,+919998000000
216,Titan Store,"P59, C.I.T.ROAD, OPP. E.S.I. HOSPITAL, ULTADANGA",SCHEME 7M,KOLKATA,700054,West Bengal                                       ,+919998000000
217,Titan Store,"20, DOBSON ROAD",OPP. A.C.MARKET,KOLKATA,710001,West Bengal                                       ,+919998000000
218,Titan Store,"26 & 30, BHUPEN BOSE AVENUE",SHYAMBAZAR,KOLKATA,700004,West Bengal                                       ,+919998000000
219,Titan Store,"76/2,JESSORE ROAD SOUTH,","OPP. SISHIR KUNJ,HRIDAYPUR,",KOLKATA,700127,West Bengal                                       ,+919998000000
220,Titan Store,"SOUTH CITY MALL, SHOP NO. 006, ","GROUND FLOOR, 375 PRINCE ANWAR SHAH ROAD,",KOLKATA,700068,West Bengal                                       ,+919998000000
221,Titan Store,MAURYA CENTRE,"48, GARIAHAT ROAD, OPP. INDIAN BANK",KOLKATA,700019,West Bengal                                       ,+919998000000
222,Titan Store,NEAR SRINIKETAN STATION ROAD,"SODEPUR, 24PGS(N) ",KOLKATA, 700 110 ,West Bengal                                       ,+919998000000
223,Titan Store,"1st floor, Shopno:55, Avani Riverside Mall","32,Jagat BanerjeeGhat Road, Howrah",KOLKATA,711102,WEST BENGAL,+919998000000
224,Titan Store,"MANI SQUARE,164/1 MANIKTALA MAIN RD,","GROUND FLOOR, SHOP 12,",KOLKATA,700054,West Bengal                                       ,+919998000000
225,Titan Store,"Block  E, Shop No : 105B","City Center 1, Salt Lake , Sector - I",Kolkata,700064,WEST BENGAL,+919998000000
226,Titan Store,"Beach Road,","Chinnakada,",KOLLAM,691001,Kerala                                            ,+919998000000
227,Titan Store,C.S.I.COMMECIAL COMPLEX,BAKER JUNCTION,KOTTAYAM,686001,Kerala                                            ,+919998000000
228,Titan Store,"FOCUS MALL,","OPP TO MOFASUL BUS STAND,  RAJAJI ROAD,",KOZHIKODE,673004,Kerala                                            ,+919998000000
229,Titan Store,"GOLDEN PLAZA, K.R.S.BUILDING","OPP. KSRTC BUS STAND, MAVOOR ROAD",KOZHIKODE,673001,Kerala                                            ,+919998000000
230,Titan Store,"Door No. 40/581 – A, ","Ground Floor , S V Complex, R S Road, ",KURNOOL,518004,AndraPradesh                                      ,+919998000000
231,Titan Store,"LIFE STYLE 1, AUSA ROAD",RAJIV GANDHI CHOWK,LATUR,413531,Maharastra                                        ,+919998000000
232,Titan Store,"16 (31/41) Mahatma Gandhi Marg, ","Hazratganj, Opp Punjab National Bank,",LUCKNOW,226001,Uttarpradesh                                      ,+919998000000
233,Titan Store,"Shop.no.M-6, Gol Market,","Mahanagar chowk , Mahanagar,",LUCKNOW,226006,Uttarpradesh                                      ,+919998000000
234,Titan Store,SHOP N- 40 UPPER GROUND FLOOR ,"FUN REPUBLIC ( ZEE MALL ), GOMTINAGAR ",LUCKNOW, 226 001,Uttarpradesh                                      ,+919998000000
235,Titan Store,"Shop NO  G-7 Ground Floor, Phoenix United Mall,","Plot NO CP-08  SECTOR B, KANPUR ROAD",LUCKNOW,226012,Uttarpradesh                                      ,+919998000000
236,Titan Store,NO.41,FEROZE GANDHI MARKET,LUDHIANA,141001,Punjab                                            ,+919998000000
237,Titan Store,"UG-20, WESTEND MALL",FEROZEPUR ROAD,LUDHIANA,141001,PUNJAB,+919998000000
238,Titan Store,"184-A,",NORTH VELI STREET,MADURAI,625001,TamilNadu                                         ,+919998000000
239,Titan Store,SACS PLAZA,"55, ALAGAR KOIL ROAD, THALAKULAM",MADURAI,625002,TamilNadu                                         ,+919998000000
240,Titan Store,"12G KMA COMPLEX, RAMNAGAR",BYEPASS ROAD,MADURAI,625010,TamilNadu                                         ,+919998000000
241,Titan Store,BALMATTA ROAD,OPP. HOTEL ROOPA,MANGALORE,575001,Karnataka                                         ,+919998000000
242,Titan Store,"DEEPA PLAZA,",M.G.ROAD,MANGALORE,575001,Karnataka                                         ,+919998000000
243,Titan Store,"UG-16, CITI CENTRE MALL",K.S.RAO ROAD,MANGALORE,575001,Karnataka                                         ,+919998000000
244,Titan Store,"1213, RANGAVI",OPP. MUNICIPALITY,MARGAO,403601,Goa                                               ,+919998000000
245,Titan Store,"Shop no- G7, G8,","Citi Plaza, Begum Bridge Road",MEERUT,250001,Uttarpradesh                                      ,+919998000000
246,Titan Store,"SCO 119,Phase 7",Mohali,Mohali,160062,PUNJAB,+919998000000
247,Titan Store,"5/6, PARAS DARSHAN                                                                                  ",M.G.ROAD,MUMBAI,400077,Maharastra                                        ,+919998000000
248,Titan Store,"SHOP NO. 2 & 3, JAI SHIV SHAKTI BUILDING","NEHRU ROAD, MULUND (WEST)",MUMBAI,400080,Maharastra                                        ,+919998000000
249,Titan Store,"SHOP NO.1 & 2, MEHUL BUILDING","L.T.ROAD, BORIVALI (WEST)",MUMBAI,400092,Maharastra                                        ,+919998000000
250,Titan Store,"G-34, R-city Mall,","LBS Marg, Ghatkopar (W),",MUMBAI,400077,Maharastra                                        ,+919998000000
251,Titan Store,"2, SILVER STONE ","294, LINKING ROAD, KHAR(WEST)",MUMBAI,400052,Maharastra                                        ,+919998000000
252,Titan Store,"1 & 2, SUCHAK HOUSE","MURBAD ROAD, OPP. KALYAN SCAN CENTRE, KALYAN (WEST)",MUMBAI,421301,Maharastra                                        ,+919998000000
253,Titan Store,"378, N.C.KELKAR ROAD",DADAR (WEST),MUMBAI,400028,Maharastra                                        ,+919998000000
254,Titan Store,"NO2, JAMUNA APARTMENTS ","S V ROAD, ANDHERI ( W) ",MUMBAI, 400 058 ,Maharastra                                        ,+919998000000
255,Titan Store,"112/114, NEW CHARNI ROAD","HIRA BHAWAN, OPP. HARKISONDAS HOSPITAL, PRATHANA SAMAJ",MUMBAI,400004,Maharastra                                        ,+919998000000
256,Titan Store,"SHREE SUKHAKARTA, SHOP NO.4","SUNDARAM PLOT NO 128, M.C.C.H.SOCIETY",MUMBAI,410206,Maharastra                                        ,+919998000000
257,Titan Store,Shiv-E-Numh building,Dr. Annie Besant Road,MUMBAI,400014,Maharastra                                        ,+919998000000
258,Titan Store,"UG 9, Upper Ground,","Korum Mall, Thane (W)",MUMBAI,400603,Maharastra                                        ,+919998000000
259,Titan Store,"SHOP NO.1 & 2, NAV ASHUTOSH BUILDING","NEAR PARASMANI, KALYAN ROAD, DOMBIVILI (EAST) ",MUMBAI,421201,Maharastra                                        ,+919998000000
260,Titan Store,"G-11, PHOENIX MARKET CITY","L.B.S. MARG, KURLA WEST",MUMBAI,400 070,Maharastra                                        ,+919998000000
261,Titan Store,"F-28, 1st Flr., Oberoi Mall, Nr. Dindoshi Bus Depot,","Off. W.E. Highway,Goregaon East",MUMBAI,400063,Maharastra                                        ,+919998000000
262,Titan Store,"G-16, PLOT NO 39/1,","SECTOR NO 30/A,VASHI,",MUMBAI,400705,Maharastra                                        ,+919998000000
263,Titan Store,"PERSIPOLIS, SHOP Nos. 11 &12","SECTOR 17, VASHI",MUMBAI,400703,MAHARASHTRA,+919998000000
264,Titan Store,"Terminal 1B SHA2, Chatrapati Shivaji ","International Airport, santacruz",Mumbai,400099,Maharastra                                        ,+919998000000
265,Titan Store,"WORLD OF TITAN, NATRAJ THEATRE BUILDING,","GRD.FLOOR,ROAD NO.1,CHEMBUR,",MUMBAI,400071,Maharastra                                        ,+919998000000
266,Titan Store,"Ground floor, Pitrusmruti,","junction of Ram Maruti & Gokhle Road, Naupada",MUMBAI,400 602,Maharastra                                        ,+919998000000
267,Titan Store,HOLLAND HOUSE                                                                                       ,"S.BHAGAT SINGH MARG, COLABA",MUMBAI,400039,Maharastra                                        ,+919998000000
268,Titan Store,"G-1 & G-2, 199 LINKING ROAD,                                                                        ","DIAGONALLY OPP. SHOPPERSSTOP,NAVCHANDRA NIWAS CO-OPERATIVE,",MUMBAI,400050,Maharastra                                        ,+919998000000
269,Titan Store,"3A/3B, 1st Floor Sky Zone, Sena Bati Bapat Marg",Sena Pati Bapat Marg,Mumbai,400013,Maharastra                                        ,+919998000000
270,Titan Store,"SHOP 1 & 2, RAM NIWAS , GOKHALE ROAD,                                                                         "," OPP. NAUPADA OLD TELEPHONE EXCHANGE, THANE (WEST)",MUMBAI,400062,Maharastra                                        ,+919998000000
271,Titan Store,"SHOP NO.G 58, GR.FLOOR , NEXT TO RAYMOND SHOWROOM","LINK ROAD, MALLAD (WEST)",MUMBAI,400064,Maharastra                                        ,+919998000000
272,Titan Store,MOTIJHEEL,MOBILE NUMBER 9835615273,MUZAFFARPUR,842001,Bihar                                             ,+919998000000
273,Titan Store,"No.89,89/A,","Devaraja URS Road,",MYSORE,570001,Karnataka                                         ,+919998000000
274,Titan Store,140-A ,DEVARAJ URS ROAD,MYSORE,570001,Karnataka                                         ,+919998000000
275,Titan Store,"Elisha Lake complex, ","opp woodlands restaurant,",Nadiad,387001,Gujarat,+919998000000
276,Titan Store,"103,Police Station Road",AVVAI SHANMUGAM SALAI,NAGERCOIL,629001,TamilNadu                                         ,+919998000000
277,Titan Store,"6, SADIQUE BUILDING","MOUNT ROAD EXTN., SADAR",NAGPUR,440001,Maharastra                                        ,+919998000000
278,Titan Store,SHANKAR NAGAR SQUARE,"KHARE TOWN, DHARAMPETH",NAGPUR,440010,Maharastra                                        ,+919998000000
279,Titan Store,"SAVADIA COMPLEX, NIT PLOT NO 73-C","GANDHIPUTLA SQ, ITWARI",NAGPUR,440002,Maharastra                                        ,+919998000000
280,Titan Store,"G 42B, EMPRESS CITY MALL","SURVEY101, TRADE NO199, MAUZA NAGPUR, BALKAN ROAD, NEAR COTTON MARKET",NAGPUR,440018,Maharastra                                        ,+919998000000
281,Titan Store,"Shop no.18,19","Opp.Balaji Temple,GG Road ",Nanded,431601,MAHARASHTRA,+919998000000
282,Titan Store,"MFS-13,","City Centre Mall, Untwadi,",NASHIK,422002,Maharastra                                        ,+919998000000
283,Titan Store,"SHOP NO. 29, 30 & 31","DEVS ARCADE, SAMARTH NAGAR",NASHIK,422005,Maharastra                                        ,+919998000000
284,Titan Store,SHOP-15/16 DEHABANOO COMERCIAL COMPLEX,"NASIK-PUNE HIGHWAY,NASHIK ROAD,",NASHIK.,422003,MAHARASHTRA.,+919998000000
285,Titan Store,"16-1/246, S.R.PLAZA","TRUNK ROAD, OPP. KOMALA VILAS",NELLORE,524001,AndraPradesh                                      ,+919998000000
286,Titan Store,"4-6-570/3a/1, Swarna complex,","Yellammagutta,Hyderabad road,",NIZAMABAD,503003,AndraPradesh                                      ,+919998000000
287,Titan Store,"G-17, ","Sector 18,",NOIDA,201301,Uttarpradesh                                      ,+919998000000
288,Titan Store,"SHOP NO. 74, PLOT NO. A-2 ,SITUATED IN SECTOR 38 A,                                                 ","NEW OKHLA INDUSTRIAL DEVELOPMENT AREA,DISTRICT GAUTAM BUDH.",NOIDA,201301,Uttarpradesh                                      ,+919998000000
289,Titan Store,"KURNOOL ROAD,",0,ONGOLE,523002,AndraPradesh                                      ,+919998000000
290,Titan Store,"OLD NO 11/43, NEW NO 39/52 ,","GANDHI BAZAR ROAD,",PALGHAT,678001,Kerala                                            ,+919998000000
291,Titan Store,"1, DURGA CHAMBERS",18TH JUNE ROAD,PANAJI,403001,Goa                                               ,+919998000000
292,Titan Store,M/S KAPOOR BROTHERS ROLLER FLOOR MILLS,SCO 348 SECTOR 9  PANCHKULLA,PANCHKULA,134019,Haryana                                           ,+919998000000
293,Titan Store,"Shop No -10 & 11, Gurudata Apartment,","M G Road,",Panjim,403001,Goa,+919998000000
294,Titan Store,SHOP UGF -18,OMAXE  WEDDING MALL,PATIALA,147001,PUNJAB,+919998000000
295,Titan Store,"DAK BUNGLOW ROAD, ",OPP.MAURYA LOK COMPLEX,PATNA,800001,Bihar                                             ,+919998000000
296,Titan Store,Corner of BMP Road ,"Ashiana More , Rajabazar ",PATNA,800 014,Bihar                                             ,+919998000000
297,Titan Store,GANDHI MAIDAN-EAST,NEAR REGENT CINEMA,PATNA,800004,Bihar                                             ,+919998000000
298,Titan Store,"SHOP NO.1, OPP. ALANKAR PLACE,","BORING ROAD,",PATNA,800 001,Bihar                                             ,+919998000000
299,Titan Store,"Shop No. G 11, G Floor, P & M Mall,",PATLIPUTRA - KURJI MORE,PATNA,800014,Bihar,+919998000000
300,Titan Store,"155, MISSION STREET",PONDICHERRY,PONDICHERRY,605001,Pondichery                                        ,+919998000000
301,Titan Store,"917/20,Charming House,","Next to Oriental bank of Commerce,  Shivaji Nagar",Pune,411004,Maharastra                                        ,+919998000000
302,Titan Store,"SHOP NO 3/4/5,DEVGIRI APTMNT,","OPP. PL DESHPHANE GARGEN,SINHGAD ROAD",PUNE,411009,Maharastra                                        ,+919998000000
303,Titan Store,"F-64, Pheonix Market City, ","Nagar Road,",Pune,411014,MAHARASHTRA,+919998000000
304,Titan Store,"D-3/5, MUMBAI-PUNE ROAD","OPP. GREAVES FOUNDRY, CHINCHWAD",PUNE,411019,Maharastra                                        ,+919998000000
305,Titan Store,"S47, INORBIT MALL, SOMESHWAR NAGAR, WADGAON SHERI","NAGAR ROAD, PUNE",PUNE,411 014,PUNE,+919998000000
306,Titan Store,"Shop No 1,2,3,4,","Silver Fern,Karve Road, Kothrud(Opp. Kothrud Bus Stand)",PUNE,411038,Maharastra                                        ,+919998000000
307,Titan Store,"G-12, GROUND FLOOR, KUMAR PACIFIC MALL,","FP CST 42&43,SHANKARSETH ROAD, NEAR 7 LOVES CHOWK, GULTEKDI",PUNE,411042,MAHARASHTRA,+919998000000
308,Titan Store,"SHOP NO.7 &  8, LANDMARK CENTRE, OPP. CITY PRIDE CINEMA ","SURVEY NO 46/1B, PLOT NO 2, PUNE SATARA ROAD",PUNE,411009,Maharastra                                        ,+919998000000
309,Titan Store,"SHOP 127/129,FORT ALZZA","OPP GOLD ADLABS,KALYANI NAGAR",PUNE,411006,Maharastra                                        ,+919998000000
310,Titan Store,"13, M.G.ROAD ",CAMP PUNE,PUNE,411001,Maharastra                                        ,+919998000000
311,Titan Store,"Shop No 5 & 6,Fun N Shop,","Near Big Bazar,Fatima Nagar",PUNE,411040,Maharastra                                        ,+919998000000
312,Titan Store,"PLEXUS MALL, ITI ROAD,","OPP OZONE, AUNDH,",PUNE,411005,Maharastra                                        ,+919998000000
313,Titan Store,"1318, JANGLI MAHARAJ ROAD, NEAR MEDINOVA HOSPITAL","OPP. MODERN HIGH SCHOOL, SHIVAJINAGAR",PUNE,411005,Maharastra                                        ,+919998000000
314,Titan Store,SHASTRI CHOWK,G.E.ROAD,RAIPUR,492001,Chattisgarh                                       ,+919998000000
315,Titan Store,"simran towers,Opp LIC building","tandri,",RAIPUR,492004,Chattisgarh                                       ,+919998000000
316,Titan Store,31 - 1 - 40 ,FORT GATE,RAJAHMUNDRY,533101,AndraPradesh                                      ,+919998000000
317,Titan Store,"10-2-2, D.B.VENKATAPATHI RAJU COMPLEX",OPP. PUSHKHAR GHAT,RAJAHMUNDRY,533101,AndraPradesh                                      ,+919998000000
318,Titan Store,"Ground Floor, Holiday Business Circle,Nr.ICICI BANK","kotecha chowk, kalawad road",RAJKOT,360001,Gujarat,+919998000000
319,Titan Store,TRIKON BAUG,"GASFORD TALKIES ROAD, OPP. RAJKOT GYMKHANA",RAJKOT,360001,Gujarat                                           ,+919998000000
320,Titan Store,"3, GEL CHURCH COMPLEX",MAIN ROAD,RANCHI,834001,Jarkhand                                          ,+919998000000
321,Titan Store,OPP. MAHINDRA PRASAD MAHILA VIDHYALYA ,"CIRCULAR ROAD , RANCHI",RANCHI,834001,Jarkhand                                          ,+919998000000
322,Titan Store,"85, CHANDINI CHOWK ",OPP. UCO BANK,RATLAM,457001,M P                                               ,+919998000000
323,Titan Store,BISRA ROAD,OPP. HOTEL VRINDAVAN,ROURKELA,769001,Orissa                                            ,+919998000000
324,Titan Store,OPP. SOFIA MARKET,COURT ROAD,SAHARANPUR,247001,Uttarpradesh                                      ,+919998000000
325,Titan Store,"POOKADAI SHOPPING COMPLEX, 1ST FLOOR",FOUR ROADS,SALEM,636009,TamilNadu                                         ,+919998000000
326,Titan Store,"# 194,  Opposite to Saradha College","Saradha College Main Road,",SALEM,636016,TamilNadu                                         ,+919998000000
327,Titan Store,"SHOP NO.43 & 44, CHAMUNDI SHOPPING COMPLEX ",FOUR ROADS,SALEM,636007,TamilNadu                                         ,+919998000000
328,Titan Store,PRANAM ARCADE,"NEAR RAM MANDIR, SANGLI MIRAJ ROAD",SANGLI,416416,Maharastra                                        ,+919998000000
329,Titan Store,"175, RAVIWAR PETH, ","NEAR SHIVAJI CIRCLE, POWAI NAKA",SATARA,415001,Maharastra                                        ,+919998000000
330,Titan Store,"Cosmos Mall,shop no.13,","Second Mile,Shevok Road,",SILIGURI,734001,West Bengal                                       ,+919998000000
331,Titan Store,SHOP NO B0002  CITY CENTRE,"MATIGARA, SILIGURI",SILIGURI,734010,WEST BENGAL,+919998000000
332,Titan Store,"NRKR Road, ","130-A, Patti Street,                                                                                        ",SIVAKASI,626123,TamilNadu                                         ,+919998000000
333,Titan Store,"NO.126/7, MURARJI PETH",NEXT TO AISHWARYA HOTEL,SOLAPUR,413001,Maharastra                                        ,+919998000000
334,Titan Store,LAL CHOWK,OPPOSITE TO CLOCK TOWER,SRINAGAR,190001,J & K                                             ,+919998000000
335,Titan Store,"SHOP NO. 1, HIGH GROUND FLOOR, SHREEJI ARCADE","ABOVE ADANI SUPER MARKET, OPP. ANAND MAHAL APT., ANAND MAHAL ROAD, ADAJAN",SURAT,395009,Gujarat                                           ,+919998000000
336,Titan Store,"U/3/4, ANJAN SHLAKA COMPLEX ","OPP. JAIN TEMPLE, NEAR LAL BUNGLOW, ATHWALINES, SURAT DUMAS ROAD",SURAT,395007,Gujarat                                           ,+919998000000
337,Titan Store,"125,ISCON MALL ,OPP. RAJHANS CINEMA","SURAT- DUMAS ROAD,PIPLOD",SURAT,395007,Gujarat                                           ,+919998000000
338,Titan Store,"1475, SOUTH RAMPART",,TANJORE,613001,TamilNadu                                         ,+919998000000
339,Titan Store,"Shop No 1,2 & 3, Anita Palace, Near HDFC Bank","Amabadi Road, Navghar, Vasai (West)",Thane,401202,MAHARASHTRA,+919998000000
340,Titan Store,"22,TRIVANDRAM ROAD,",MURUGANKURUCHI,TIRUNELVELI,627002,TamilNadu                                         ,+919998000000
341,Titan Store,"51-B/6 & 51-B/7, NAINAR SHOPING COMPLEX",OLD BUS STAND ROAD,TIRUNELVELI,627001,TamilNadu                                         ,+919998000000
342,Titan Store,"Choice,18-1-605,","Mosque Road or V V Mahal Road, ",TIRUPATI,517501,AndraPradesh                                      ,+919998000000
343,Titan Store,"23, MUNICIPAL OFFICE STREET",TIRUPUR,TIRUPUR,641604,TamilNadu                                         ,+919998000000
344,Titan Store,"474, Gandhi Nilayam,","P.N.ROAD, TIRUPUR",TIRUPUR,641602,TamilNadu                                         ,+919998000000
345,Titan Store,ROUND WEST,MANUAL SONS BULIDING,TRICHUR,680001,Kerala                                            ,+919998000000
346,Titan Store,"5, BHATHIAR SALAI, JENNE COMPLEX",CANTONMENT,TRICHY,620001,TamilNadu                                         ,+919998000000
347,Titan Store,"141, S.R.M.COMPLEX,NEAR LAKSHMI COMPLEX",SALAI ROAD,TRICHY,620018,TamilNadu                                         ,+919998000000
348,Titan Store,"SEETHA SHANKAR TOWERS, PULIMOODU JUNCTION",M.G.ROAD,TRIVANDRUM,695001,Kerala                                            ,+919998000000
349,Titan Store,"ED,HEIGHTS,BELOW SPENCER DAILY                    ",OPP.LIC PATTOM,TRIVANDRUM,695004,Kerala                                            ,+919998000000
350,Titan Store,"107,108,RED CROSS BUILDING",ASHOKA ROAD,TUMKUR,572101,Karnataka                                         ,+919998000000
351,Titan Store,"NO 223,WEST GREAT COTTON ROAD",TUTICORIN,TUTICORIN,628002,TamilNadu                                         ,+919998000000
352,Titan Store,"7/A Delhi Gate,","Bapu Bazar,Near Tanishq,",UDAIPUR,313001,Rajasthan                                         ,+919998000000
353,Titan Store,"CPC Plaza,","Opp. KSRTC Bus Stand Main Road,",UDUPI,576101,Karnataka                                         ,+919998000000
354,Titan Store,"NO. 3, SUNSHINE TOWER","BHATWAL TALKIES, FREE GUNJ",UJJAIN,456010,M P                                               ,+919998000000
355,Titan Store,"6 Gunjan Shopping Centre,Near Gunjan Cinema,","Gunjan Char Rasta,GIDC",VAPI,396195,Gujarat                                           ,+919998000000
356,Titan Store,"SOP NO 15, IST FLOOR , IP3 MALL ",SIGRA ,VARANASI,221001,Uttarpradesh                                      ,+919998000000
357,Titan Store,OPP: CHETGANJ POLICE STATION,LAHURABIR,VARANASI,221001,Uttarpradesh                                      ,+919998000000
358,Titan Store,"66 officers line, "," thiyagarayapuram,",VELLORE,635601,TamilNadu                                         ,+919998000000
359,Titan Store,"No.75/1, 75/2, katpadi road,","Near vasan ENT hospital, Gandhi Nagar",Vellore,632006,TamilNadu                                         ,+919998000000
360,Titan Store,"KARL MARX RD ,( ELURU ROAD)",GOVERNORPET,VIJAYAWADA,520002,AndraPradesh                                      ,+919998000000
361,Titan Store,"40-1-07 (Next to Tanishq),","Sudarshan Complex, M. G.Road ,",VIJAYAWADA,520010,AndraPradesh                                      ,+919998000000
362,Titan Store,"Door No 58-1-305, Raja Sree Nilayam,","Bhuchirajupalem, NAD Kotharoad,",VISAKHAPATNAM,530057,AndraPradesh                                      ,+919998000000
363,Titan Store,"8-13-8, Beside 38 Bus Stop,","NH-5, Old Gajuwaka,",VISAKHAPATNAM,530026,AndraPradesh                                      ,+919998000000
364,Titan Store,48 - 9 - 1 ,DWARAKANAGAR,VISAKHAPATNAM,530016,AndraPradesh                                      ,+919998000000
365,Titan Store,"SHOP NO.5 & 6, CITY CENTRE COMPLEX",JAGADAMBA JUNCTION,VISAKHAPATNAM,530002,AndraPradesh                                      ,+919998000000
366,Titan Store,"No- 1-8-612, New,","Nakkalagutta.Hanamakonda,",WARANGAL,506001,AndraPradesh                                      ,+919998000000
367,Titan Store,"MAIN LINE,TANGA STAND ,NR HAJI TREDERS ",OPP. JOHN PLAYERS ,YAVATMAL,445001,MAHARASHTRA,+919998000000
